edge_id	node_id
0	27
0	28
0	29
0	30
0	31
0	32
1	0
1	41
1	46
1	48
1	61
1	75
2	13
2	28
2	49
2	51
2	52
2	58
3	33
3	41
3	45
3	50
3	51
3	52
4	7
4	10
4	33
4	41
4	50
4	58
5	14
5	17
5	21
5	22
5	76
5	77
6	0
6	7
6	12
6	18
6	24
6	34
7	32
7	56
7	68
7	69
7	88
7	89
8	8
8	21
8	32
8	56
8	69
8	88
9	17
9	21
9	32
9	43
9	69
9	88
10	31
10	78
10	79
10	81
10	90
10	91
11	14
11	17
11	21
11	53
11	77
11	92
12	31
12	78
12	79
12	90
12	91
12	93
13	31
13	78
13	79
13	81
13	90
13	93
14	8
14	21
14	32
14	53
14	54
14	74
15	30
15	31
15	78
15	79
15	81
15	90
16	0
16	1
16	7
16	41
16	49
16	58
17	17
17	21
17	38
17	56
17	74
17	88
18	17
18	21
18	38
18	56
18	69
18	88
19	8
19	56
19	77
19	108
19	111
19	112
20	8
20	21
20	53
20	76
20	80
20	112
21	8
21	21
21	53
21	80
21	89
21	112
22	8
22	9
22	17
22	36
22	76
22	88
23	13
23	25
23	46
23	58
23	67
23	73
24	13
24	33
24	41
24	50
24	58
24	75
25	23
25	35
25	36
25	38
25	39
25	76
26	8
26	21
26	22
26	53
26	57
26	112
27	82
27	98
27	99
27	100
27	101
27	104
28	107
28	115
28	116
29	0
29	4
29	7
29	34
29	62
29	71
30	30
30	78
30	79
30	81
30	90
30	113
31	31
31	78
31	79
31	81
31	90
31	113
32	55
32	107
32	115
32	116
33	31
33	78
33	79
33	81
33	93
33	113
34	82
34	94
34	101
34	102
34	103
34	106
35	82
35	97
35	99
35	101
35	102
35	106
36	55
36	82
36	97
36	99
36	102
36	106
37	55
37	82
37	97
37	101
37	102
37	106
38	99
38	100
38	101
38	103
38	106
38	117
39	31
39	79
39	81
39	90
39	91
39	113
40	30
40	31
40	79
40	90
40	91
40	113
41	78
41	79
41	81
41	90
41	91
41	113
42	30
42	79
42	81
42	90
42	91
42	113
43	30
43	31
43	81
43	90
43	91
43	113
44	30
44	78
44	81
44	90
44	91
44	113
45	9
45	23
45	32
45	39
45	57
45	69
46	9
46	36
46	43
46	53
46	57
46	77
47	9
47	21
47	36
47	43
47	74
47	77
48	9
48	21
48	36
48	43
48	57
48	74
49	13
49	34
49	46
49	58
49	64
49	73
50	7
50	18
50	44
50	61
50	67
50	71
51	4
51	5
51	18
51	61
51	67
51	71
52	14
52	17
52	21
52	22
52	43
52	68
53	14
53	17
53	22
53	43
53	68
53	77
54	11
54	97
54	98
54	99
54	100
54	106
55	7
55	25
55	58
55	66
55	67
55	73
56	35
56	36
56	56
56	68
56	89
56	109
57	21
57	35
57	56
57	68
57	69
57	89
58	17
58	23
58	53
58	56
58	77
58	89
59	13
59	28
59	48
59	58
59	67
59	73
60	6
60	25
60	46
60	50
60	58
60	67
61	11
61	97
62	5
62	10
62	45
62	48
62	49
62	67
63	1
63	2
63	24
63	37
63	50
63	66
64	0
64	1
64	5
64	41
64	50
64	52
65	1
65	18
65	27
65	41
65	46
65	58
66	8
66	21
66	35
66	88
66	109
66	112
67	14
67	17
67	20
67	57
67	88
67	110
68	22
68	23
68	38
68	39
68	77
68	89
69	17
69	21
69	77
69	88
69	109
69	110
70	17
70	21
70	57
70	77
70	88
70	110
71	17
71	21
71	54
71	77
71	88
71	110
72	17
72	39
72	54
72	77
72	88
72	110
73	23
73	35
73	56
73	68
73	76
73	80
74	17
74	53
74	54
74	77
74	88
74	110
75	1
75	13
75	24
75	41
75	50
75	75
76	0
76	1
76	18
76	51
76	60
76	70
77	1
77	10
77	13
77	50
77	61
77	71
78	28
78	41
78	52
78	66
78	70
78	73
79	16
79	19
79	83
79	86
79	87
79	114
80	0
80	1
80	41
80	50
80	51
80	52
81	30
81	31
81	79
81	90
81	93
81	113
82	96
82	99
82	100
82	103
82	104
82	106
83	11
83	96
83	99
83	100
83	104
83	106
84	2
84	61
84	63
84	64
84	66
84	71
85	32
85	36
85	43
85	69
85	74
85	88
86	2
86	5
86	34
86	60
86	63
86	64
87	78
87	79
87	81
87	91
87	93
87	113
88	7
88	41
88	49
88	50
88	71
88	75
89	28
89	45
89	46
89	52
89	63
89	73
90	0
90	18
90	28
90	37
90	52
90	65
91	1
91	2
91	5
91	34
91	60
91	64
92	0
92	7
92	18
92	28
92	37
92	61
93	0
93	3
93	18
93	28
93	37
93	41
94	0
94	2
94	5
94	60
94	61
94	63
95	9
95	39
95	43
95	57
95	69
95	109
96	47
96	59
96	72
96	83
96	86
96	87
97	13
97	44
97	45
97	49
97	58
97	65
98	1
98	18
98	27
98	41
98	50
98	61
99	30
99	31
99	79
99	81
99	90
99	93
100	2
100	5
100	24
100	26
100	61
100	63
101	2
101	4
101	6
101	7
101	24
101	60
102	29
102	47
102	72
102	83
102	87
102	114
103	29
103	47
103	72
103	83
103	86
103	87
104	19
104	29
104	47
104	72
104	83
104	87
105	19
105	47
105	72
105	83
105	86
105	87
106	25
106	28
106	44
106	50
106	52
106	58
107	21
107	43
107	74
107	77
107	108
107	112
108	1
108	49
108	61
108	107
108	115
108	116
109	8
109	21
109	43
109	74
109	77
109	88
110	8
110	43
110	74
110	77
110	88
110	108
111	9
111	20
111	74
111	88
111	109
111	110
112	8
112	35
112	42
112	74
112	80
112	88
113	31
113	78
113	79
113	90
113	91
113	113
114	1
114	2
114	5
114	18
114	24
114	60
115	0
115	2
115	3
115	7
115	12
115	62
116	0
116	24
116	28
116	60
116	61
116	62
117	2
117	7
117	12
117	25
117	28
117	33
118	0
118	5
118	7
118	50
118	65
118	67
119	9
119	23
119	39
119	43
119	54
119	57
120	9
120	43
120	57
120	76
120	77
120	111
121	98
121	99
121	100
121	102
121	104
121	106
122	29
122	59
122	83
122	86
122	114
122	118
123	29
123	59
123	83
123	86
123	87
123	114
124	32
124	35
124	53
124	54
124	57
124	76
125	9
125	54
125	57
125	74
125	76
125	109
126	0
126	5
126	7
126	63
126	65
126	67
127	0
127	1
127	18
127	24
127	61
127	71
128	4
128	7
128	13
128	45
128	52
128	58
129	32
129	57
129	74
129	76
129	108
129	109
130	1
130	3
130	7
130	26
130	58
130	61
131	10
131	13
131	51
131	58
131	64
131	73
132	1
132	18
132	24
132	46
132	50
132	71
133	14
133	22
133	39
133	53
133	57
133	89
134	30
134	31
134	78
134	79
134	81
134	91
135	31
135	78
135	79
135	81
135	91
135	93
136	9
136	36
136	56
136	74
136	88
136	110
137	9
137	36
137	76
137	89
137	92
137	110
138	32
138	57
138	69
138	92
138	108
138	110
139	10
139	13
139	44
139	48
139	65
139	66
140	13
140	28
140	44
140	45
140	48
140	58
141	8
141	9
141	15
141	22
141	80
141	109
142	10
142	13
142	46
142	48
142	50
142	70
143	59
143	83
143	84
143	86
143	87
143	114
144	31
144	79
144	81
144	90
144	93
144	113
145	2
145	5
145	7
145	34
145	61
145	71
146	28
146	45
146	48
146	52
146	70
146	73
147	31
147	78
147	79
147	90
147	93
147	113
148	11
148	55
148	99
148	103
148	105
148	106
149	11
149	55
149	99
149	104
149	105
149	106
150	31
150	78
150	81
150	91
150	93
150	113
151	1
151	24
151	41
151	50
151	61
151	71
152	0
152	24
152	26
152	48
152	61
152	67
153	33
153	44
153	45
153	51
153	70
153	75
154	47
154	59
154	72
154	86
154	87
154	118
155	14
155	18
156	6
156	18
156	24
156	34
156	64
156	71
157	9
157	54
157	56
157	68
157	69
157	74
158	9
158	36
158	54
158	56
158	68
158	69
159	28
159	44
159	49
159	50
159	58
159	70
160	17
160	43
160	56
160	80
160	92
160	111
161	11
161	97
161	100
161	104
161	106
161	119
162	35
162	40
162	43
162	56
162	80
162	111
163	29
163	59
163	86
163	87
163	114
163	118
164	82
164	98
164	100
164	101
164	104
164	106
165	9
165	35
165	56
165	74
165	92
165	111
166	11
166	82
166	98
166	100
166	101
166	106
167	23
167	43
167	56
167	57
167	74
167	80
168	10
168	50
168	58
168	64
168	65
168	67
169	9
169	23
169	32
169	43
169	57
169	69
170	9
170	36
170	43
170	69
170	74
170	110
171	1
171	27
171	41
171	49
171	50
171	67
172	0
172	4
172	18
172	58
172	61
172	67
173	0
173	7
173	18
173	50
173	61
173	67
174	4
174	12
174	18
174	24
174	37
174	61
175	6
175	18
175	44
175	50
175	61
175	65
176	0
176	1
176	26
176	34
176	50
176	61
177	1
177	18
177	50
177	58
177	65
177	67
178	4
178	25
178	27
178	28
178	48
178	49
179	30
179	31
179	78
179	90
179	93
179	113
180	9
180	21
180	39
180	53
180	76
180	88
181	7
181	10
181	34
181	41
181	51
181	58
182	13
182	44
182	46
182	63
182	65
182	70
183	2
183	5
183	7
183	61
183	64
183	67
184	30
184	31
184	81
184	90
184	93
184	113
185	30
