edge_id	node_id
0	32
0	115
1	19
1	90
2	30
2	163
3	36
3	167
4	12
4	144
5	10
5	11
6	50
6	162
7	2
7	167
8	9
8	124
9	2
9	90
10	29
10	69
11	11
11	58
12	92
12	170
13	0
13	77
14	32
14	175
15	124
15	155
16	59
16	162
17	94
17	128
17	146
18	22
18	169
19	92
19	153
19	167
20	12
20	117
20	153
21	25
21	49
21	109
22	16
22	153
23	0
23	175
24	14
24	93
25	79
25	175
26	147
26	175
27	11
27	57
27	140
27	181
28	10
28	130
29	43
29	162
30	18
30	90
31	30
31	157
32	0
32	22
33	46
33	167
34	50
34	79
34	162
35	2
35	126
35	181
36	12
36	60
36	132
36	168
37	55
37	134
38	67
38	162
39	28
39	29
40	43
40	161
41	81
41	91
42	16
42	22
42	153
43	43
43	95
44	97
44	132
45	104
45	169
46	32
46	66
47	65
47	111
48	43
48	51
49	33
49	34
49	120
50	91
50	106
51	116
51	148
52	9
52	49
52	124
53	120
53	160
54	33
54	62
54	90
55	9
55	109
56	71
56	83
57	71
57	90
58	11
58	172
59	79
59	80
60	13
60	132
61	38
61	144
62	71
62	81
62	92
62	179
63	97
63	144
64	38
64	55
65	66
65	78
66	99
66	101
66	132
66	175
67	60
67	132
67	168
68	29
68	49
69	60
69	132
70	11
70	96
71	52
71	132
72	92
72	162
73	50
73	79
74	22
74	78
75	121
75	130
76	120
76	181
77	52
77	66
77	79
78	76
78	133
79	11
79	98
80	38
80	79
81	36
81	72
82	40
82	94
82	113
83	4
83	163
84	79
84	162
85	23
85	175
86	71
86	77
86	81
86	92
86	179
87	12
87	15
87	32
87	78
88	66
88	162
89	7
89	64
89	124
90	9
90	150
91	0
91	38
92	10
92	39
93	2
93	15
93	38
94	83
94	92
95	71
95	162
96	71
96	95
97	98
97	162
98	12
98	153
98	162
99	0
99	12
100	1
100	12
101	16
101	52
102	87
102	126
103	134
103	153
104	124
104	158
105	11
105	124
106	43
106	90
107	0
107	162
108	136
108	159
109	62
109	88
110	167
110	179
111	10
111	30
112	22
112	104
113	78
113	139
114	21
114	38
114	144
115	71
115	81
115	92
116	22
116	32
117	144
117	152
118	71
118	115
119	66
119	170
120	90
120	166
120	167
121	9
121	105
122	79
122	144
123	46
123	132
124	116
124	132
125	29
125	158
126	12
126	42
127	66
127	153
128	32
128	36
129	45
129	81
130	66
130	158
130	160
131	88
131	93
132	11
132	26
132	66
133	35
133	154
134	52
134	162
135	79
135	153
136	27
136	44
137	83
137	91
138	11
138	15
138	53
139	82
139	115
140	106
140	124
141	104
141	117
141	169
142	43
142	133
143	71
143	81
144	121
144	136
144	188
145	147
145	162
146	107
146	172
147	11
147	43
148	120
148	123
149	92
149	162
149	179
150	66
150	169
151	33
151	90
152	0
152	133
153	49
153	156
153	165
154	10
154	105
155	22
155	83
155	153
156	95
156	166
157	132
157	166
158	87
158	95
159	2
159	26
160	87
160	144
161	12
161	15
162	26
162	164
163	8
163	22
164	106
164	136
165	59
165	135
166	25
166	120
167	11
167	62
167	66
168	33
168	124
168	158
169	166
169	167
170	9
170	11
171	90
171	147
172	11
172	33
173	91
173	95
174	132
174	185
175	8
175	174
176	64
176	102
177	12
177	62
177	74
178	99
178	175
179	11
179	166
180	9
180	157
181	38
181	79
181	175
182	105
182	137
183	124
183	136
183	178
184	136
184	187
185	124
185	178
186	98
186	160
187	11
187	61
188	66
188	158
189	40
189	103
190	77
190	79
191	137
191	171
192	62
192	90
193	60
193	168
194	80
194	90
